,0
49,"Naftopidil, an α1-adrenoceptor blocker, has been clinically used for the treatment of benign prostate hyperplasia and hypertension. Emerging evidence has shown that naftopidil exhibits an antitumor effect on a variety of cancer types including prostate cancer. The aim of the present study was to investigate naftopidil-induced apoptosis in human malignant mesothelioma cells and to shed light on the underlying mechanism. 3-(4,5-dimethyl-2-thiazolyl)-2,5-diphenyl-2H-tetrazolium bromide (MTT) assay, terminal deoxynucleotidyl transferase-mediated dUTP nick-end labeling (TUNEL) staining, western blotting, and enzymatic assay of caspase-3, -8, and -9 activities were carried out on human malignant mesothelioma cell lines NCI-H28, NCI-H2052, NCI-H2452, and MSTO-211H cells. To knock-down α1D-adrenoceptor, siRNA to silence human α1D-adrenoceptor-targeted gene was constructed and transfected into cells. Naftopidil induced apoptosis in all the investigated malignant mesothelioma cells, and a similar effect was obtained with prazosin, another α1-adrenoceptor blocker. α1-Adrenoceptor is linked to Gq/11 protein involving activation of protein kinase C (PKC). Naftopidil-induced reduction in cell viability was inhibited by GF109203X, while prazosin-induced in cell viability was less affected. Knocking-down α1D-adrenoceptor promoted malignant mesothelioma cell proliferation. Both naftopidil and prazosin activated caspase-3 and -8 in all the investigated malignant mesothelioma cells.
Naftopidil, as well as prazosin, has the potential to induce apoptosis in malignant mesothelioma cells by activating caspase-8 and the effector caspase-3, regardless of α1-adrenoceptor blocking."
50,"Schwannomatosis is a disease characterized by multiple non-vestibular schwannomas. Although biallelic NF2 mutations are found in schwannomas, no germ line event is detected in schwannomatosis patients. In contrast, germline mutations of the SMARCB1 (INI1) tumor suppressor gene were described in familial and sporadic schwannomatosis patients. To delineate the SMARCB1 gene contribution, the nine coding exons were sequenced in a series of 56 patients affected with a variable number of non-vestibular schwannomas. Nine variants scattered along the sequence of SMARCB1 were identified. Five of them were classified as deleterious. All five patients carrying a SMARCB1 mutation had more multiple schwannomas, corresponding to 10.2% of patients with schwannomatosis. They were also diagnosed before 35 years of age.
These results suggest that patients with schwannomas have a significant probability of carrying a SMARCB1 mutation. Combined with data available from other studies, they confirm the clinical indications for genetic screening of the SMARCB1 gene."
51,"This study was designed to test the hypothesis that long-term oral supplementation of dietary L-arginine (to provide a sustained elevation of nitric oxide activity) would inhibit atherogenesis in hypercholesterolemic rabbits, as assessed by histomorphometric measurements. Endothelium-derived nitric oxide inhibits a number of processes that are critical in atherogenesis. Hypercholesterolemia reduces endothelial nitric oxide activity, and we postulate that this may promote atherogenesis. This reduction in nitric oxide activity can be reversed acutely by intravenous infusion of L-arginine, the precursor of nitric oxide. We show that dietary supplementation of L-arginine abrogates the development of coronary atheroma in hypercholesterolemic rabbits. Male New Zealand White rabbits were fed normal rabbit chow, 1% cholesterol chow or 1% cholesterol chow with dietary arginine or methionine supplementation to increase their intake of these amino acids sixfold. After 1 or 10 weeks of dietary intervention, the left main and left anterior descending coronary arteries were harvested for histologic study. Plasma cholesterol measurements were elevated to the same degree in all groups of rabbits receiving the 1% cholesterol diet, whereas plasma arginine levels were doubled in the arginine-treated group. High density lipoprotein (HDL) cholesterol values were not affected by arginine treatment. In rabbits receiving the 1% cholesterol diet, with or without methionine supplementation, light and electron microscopy revealed a marked increase from 1 to 10 weeks in the intimal accumulation of macrophages, associated with an increase in the intimal area of the left main coronary artery. By contrast, in arginine-treated hypercholesterolemic rabbits, there was a near absence of adherent monocytes and tissue macrophages and no progression of intimal thickness from 1 to 10 weeks.
Dietary supplements of L-arginine prevent intimal thickening in the coronary arteries of hypercholesterolemic rabbits. This antiatherogenic effect is not due to an alteration in plasma total cholesterol, HDL cholesterol or caloric or nitrogen balance. The data are consistent with the hypothesis that nitric oxide has antiatherogenic properties."
52,"Dysfunctional adipose tissue plays an important role in the etiology of the metabolic syndrome, type 2 diabetes, and dyslipidemia. However, the molecular mechanisms underlying adipocyte dysfunction are incompletely understood. The aim of the study was to identify differentially regulated pathways in sc adipocytes of dyslipidemic subjects. Whole-genome expression profiling was conducted on sc adipocytes from a discovery group of nine marginally overweight subjects with familial combined hyperlipidemia (FCHL) and nine controls of comparable body sizes as well as two independent confirmation groups. In this study, FCHL served as a model of familial insulin resistance and dyslipidemia, in the absence of frank obesity. Functional analyses and gene set enrichment analysis using the Kyoto Encyclopedia of Genes and Genomes or a custom pathway database identified the complement system and complement regulators as one of the top up-regulated pathways in FCHL [false discovery rate (FDR) < 1E-30]. Higher adipocyte complement expression in FCHL was confirmed in the appropriate confirmation group. Higher complement gene expression was associated with lower adipocyte insulin receptor substrate-1 expression as marker of adipocyte insulin resistance, independent of age, sex, or disease status, and this association was corroborated in the two confirmation groups. Additionally, complement gene expression was associated with triglycerides in the discovery set and with triglycerides and/or waist circumference in the confirmation groups. Complement pathway up-regulation did not appear to be driven by hypertriglyceridemia because a 40% pharmacological reduction in triglycerides did not affect complement expression.
These findings point to an up-regulation of a complement-related transcriptome in sc adipocytes under metabolically stressed conditions, even in the absence of overt obesity. Such up-regulation may subsequently influence downstream processes, including macrophage infiltration into adipose tissue and adipocyte insulin resistance."
53,"BACKGROUND"" Human thymic stromal lymphopoietin (TSLP) is expressed in the human asthmatic lung and activates dendritic cells (DCs) to strongly induce proallergic T-helper type 2 (Th2) cell responses, suggesting that TSLP plays a critical role in the pathophysiology of human asthma. Th2 cells are predominantly involved in mild asthma, whereas a mixture of Th1 and Th2 cells with neutrophilic inflammation, probably induced by Th17, affects more severe asthmatic disease. Exacerbation of asthmatic inflammation is often triggered by airway-targeting RNA viral infection; virus-derived double-stranded RNA, Toll-like receptor (TLR)3 ligand, activates bronchial epithelial cells to produce pro-inflammatory mediators, including TSLP. Because TSLPR-expressing DCs express TLR3, we examined how the relationship between TSLP and TLR3 ligand stimulation influences DC activation. CD11c(+)DCs purified from adult peripheral blood were cultured in TLR ligands containing media with or without TSLP and then co-cultured with allogeneic naïve CD4(+)T cells. CD11c(+) DCs responded to a combination of TSLP and TLR3 ligand, poly(I : C), to up-regulate expression of the functional TSLP receptor and TLR3. Although TSLP alone did not induce IL-23 production by DCs, poly(I : C) alone primed DCs for the production of IL-23, and a combination of TSLP and poly(I : C) primed DCs for further production of IL-23. The addition of poly(I : C) did not inhibit TSLP-activated DCs to prime naïve CD4(+) T cells to differentiate into inflammatory Th2 cells. Furthermore, DCs activated by a combination of TSLP and poly(I : C) primed more naïve CD4(+) T cells to differentiate into Th17-cytokine-producing cells with a central memory T cell phenotype compared with DCs activated by poly(I : C) alone.
These results suggest that through DC activation, human TSLP and TLR3 ligands promote differentiation of Th17 cells with the central memory T cell phenotype under Th2-polarizing conditions."
54,"Evaluation of skeletal maturity provides clinicians and researchers a window into the developmental progress of the skeleton. The FELS method for maturity assessment provides a point estimate and standard error based on 98 skeletal indicators. This paper outlines the statistical methodology used by the original FELS method and evaluates improvements that address the following: serial correlation in the calibration sample is now considered, a Bayesian estimation method is now employed to improve estimation near ages 0 and 18 years and uncertainty in the calibration due to sampling is now accounted for when computing confidence limits. The original FELS method was calibrated using 677 Fels Longitudinal Study participants. In the improved method, serial correlation is accounted for using GEE, a Bayesian analysis with a prior centred on chronological age is used and the bootstrap is used to account for all sources of variation. Accounting for serial correlation resulted in larger slopes for ordinal indicators. The Bayesian paradigm led to narrower confidence limits and a natural interpretation of skeletal age. Sampling variability in the calibration parameters was negligible.
Improvements to the statistical basis of the FELS method provide a more effective method of estimating skeletal maturity."
55,"Cardiac computed tomographic angiography (CCTA) permits simultaneous assessment of coronary artery disease (CAD) and left ventricular mass (LVM). While increased LVM predicts mortality and is associated with obstructive CAD, the relationship of LVM with non-obstructive CAD is unknown. We evaluated 212 consecutive patients undergoing 64-detector row CCTA at 2 sites without evident cardiovascular disease or obstructive (≥70%) CAD by CCTA. LVM was measured by CCTA using Simpson's method of disks and indexed to body surface area (LVMI) and height to the allometric power of 2.7(LVM/ht2.7). CCTAs were evaluated by scoring a modified AHA 16-segment coronary artery model for none = 0 (0% stenosis), mild = 1 (1-49% stenosis) or moderate = 2 (50-69% stenosis). Overall CAD plaque burden was estimated by summing scores across all segments for a segment stenosis score (SSS, max = 32). The mean age was 53.3 ± 12.8 with 52% female, 48% hypertensive, and 7.4% diabetic. The mean LVM was 109 ± 32.5 g; 58.5% had any coronary artery plaque. In multivariable linear regression, SSS was significantly associated with increased LVM, LVMI and LVM/ht2.7. LVM increased by 2.0 g for every 1-point increase in SSS (95% CI 0.06-3.4, p = 0.006). Agatston scores provided no additional predictive value for increased LVM above and beyond SSS.
Non-obstructive CAD visualized by CCTA is associated with increased LVM independent of effects of clinical risk factors and calcium scoring. Whether addition of LVM to stenosis assessment in patients undergoing CCTA enhances risk prediction of future CAD events warrants investigation."
56,"A direct relationship between body mass index (BMI), visceral adipose tissue, insulin levels and growth hormone-binding protein (GHBP) activity has consistently been reported. It was recently described that GHBP directly depends on serum leptin levels. Since leptin co-varies with insulin secretion and/or sensitivity, we aimed to study the influence of these variables on plasma GHBP activity. In order to isolate the effects of obesity per se from those of insulin secretion, three groups of subjects were prospectively studied: 14 lean, 10 obese and nine obese subjects with glucose intolerance. The percentage of body fat was measured through bioelectric impedance. Insulin sensitivity and secretion were determined through a frequently sampled intravenous glucose tolerance test with minimal model analysis. Serum leptin was measured by radioimmunoassay. GHBP activity was determined by the high performance liquid chromatography-gel filtration method. Plasma GHBP activity was found to correlate with BMI (r = 0. 65, P < 0.0001), fat mass (r = 0.51, P = 0.003), waist circumference (r = 0.64, P < 0.0001), waist-to-hip ratio (r = 0.42, P = 0.01), insulin sensitivity (SI, r = - 0.61, P = 0.0001), insulin secretion (expressed as the acute insulin response to intravenous glucose, AIRg) (r = 0.48, P = 0.006) and leptin concentration (r = 0.49, P = 0.004). The associations with SI (r = - 0.42, P = 0.02) and AIRg (r = 0.38, P = 0.03) persisted even after controlling for fat mass. Since insulin secretion and insulin sensitivity usually covary in glucose tolerant subjects (an increased insulin secretion is necessary to compensate a decreased insulin sensitivity), we constructed a multiple linear regression to predict GHBP activity. In this model, SI (P = 0.005), AIRg (P = 0.02) and SD score-leptin (P = 0.03) independently contributed to 34, 10 and 8% of the variability in serum GHBP activity.
Our results suggest that plasma GHBP activity is simultaneouslly influenced by insulin secretion and sensitivity and leptin. Perhaps leptin, through increased insulin secretion, might induce GHBP/GH secretion, explaining the normal to high insulin-like growth factor (IGF)-I levels found in overnutrition."
57,"The Cardiac Infarction Injury Score (CIIS) is an electrocardiogram classification system that was developed to identify ischaemic heart disease. As well as being of diagnostic value, the CIIS may also be of prognostic value. The prognostic value of the CIIS for mortality of coronary heart disease and cardiovascular disease was assessed in a 28 year follow up study of 3091 apparently healthy middle aged men and women (Dutch Civil Servants Study). The rates of coronary heart disease and cardiovascular disease mortality during the first 15 years of follow up were significantly higher in men and women with a CIIS of > 10 than in those with a CIIS of < or = 0 (rate ratio of coronary heart disease mortality 2.9 (95% confidence interval 1.5 to 5.8) for men and 5.6 (2.0 to 15.5) for women). Coronary heart disease mortality was also higher in men with a CIIS of 1-10 than in men with CIIS of < or = 0. When individuals with major Minnesota code items were excluded, the associations were weaker and no longer statistically significant.
These results indicate that a high CIIS is a risk indicator for coronary heart disease mortality in the general population. Classification of electrocardiograms by means of the CIIS seems to be equivalent to classification by a combination of Minnesota code items. Because CIIS coding is simpler and can be performed by computer it may be more efficient than the Minnesota code for classifying cardiac injury in epidemiological studies."
58,"Undernutrition is a main cause of immunodeficiency. Many confounding factors limit the interpretation of immune function in hospitalized elderly patients. We compared the effects of short-term fasting and refeeding on lymphocyte subset distribution and neutrophil function in healthy subjects. Seven young adult (x +/- SE age: 24 +/- 2 y) and 8 elderly (71 +/- 3 y) subjects were fed standardized diets (1.6 x predicted resting energy expenditure; 16% protein) for 7 d. They then fasted for 36 h and were refed for 4 h (42 kJ/kg). Lymphocyte subsets were quantified by using fluorochrome-conjugated monoclonal antibodies. Neutrophil chemotactic migration was evaluated by using a 2-compartment chamber. Neutrophil reactive oxygen species production was measured by using a luminol-amplified chemiluminescence assay and oxidation of 2'7'-dichlorofluorescein diacetate. Baseline total and cytotoxic T lymphocyte subpopulations were lower in elderly than in adult subjects (P < 0.01). Nutritional state had a significant effect (P < 0.05) on total, helper, and cytotoxic T and B lymphocyte counts in all subjects, and the response of lymphocyte subpopulations to nutritional fluctuations was significantly affected by age. The chemotactic index was lowered by fasting in both groups (P < 0.05 compared with basal values). After refeeding, neutrophil migration was restored in adult but not elderly subjects. The superoxide anion production rate increased with fasting and reverted to prefasting values with refeeding in both groups (P < 0.05). Fasting induced a significant decrease in hydrogen peroxide production in stimulated neutrophils that was reversed by refeeding in adult but not elderly subjects.
The lack of response of lymphocyte subpopulation counts and neutrophil function to nutritional changes may help to explain the proneness of elderly persons to infection."
59,"Short-term acute blood glucose fluctuations are often found among patients with high risk of thrombosis. Influence of the phenomenon on platelet aggregation rate is of clinical importance and should be clearly evaluated. We measured ADP and arachidonic acid-induced platelet aggregation on 58 patients with type II diabetes or acute coronary syndrome before and after oral intake of 75 g of glucose. C-peptide and insulin levels were measured in diabetic patients and glycated hemoglobin was determined in ACS patients. Results showed that short-term acute glucose fluctuation had no significant impact on platelet aggregation in these patients. In diabetes patients, the 2 hours platelet aggregation rate induced by ADP was positively correlated with insulin levels (r = 0.477, p = 0.014). AA-induced platelet aggregation was positively correlated with BMI (r = 0.619, p = 0.024). In ACS cases, there was no correlation between platelet aggregation rates and glycated hemoglobin.
There is probably no need to consider the possible influence of acute blood glucose fluctuation on thrombotic events."
60,"To investigate whether myocardial and plasma matrix metalloproteinase (MMP) activities are altered during endotoxemia. Prospective randomized, animal study. University research laboratory. Male Sprague-Dawley rats, 250-300 g. Rats were administered either bacterial lipopolysaccharide (LPS) or vehicle (pyrogen-free water). Groups of LPS-administered animals were killed at 0.5, 1, 3, 6, 12, and 24 hrs postinjection. Vehicle injected animals were killed at 6 hrs. Blood pressure was recorded before kill. Heart and plasma samples were analyzed by gelatin zymography and immunoblot. Blood pressure was significantly depressed at 3-24 hrs post-LPS injection; however, overt symptoms of endotoxemia and reduction in blood pressure were most significant 6-12 hrs post-LPS. Heart samples from control rats revealed MMP-2 activity but no MMP-9 activity. MMP-2 activity was significantly depressed when overt symptoms of endotoxemia peaked at 6-12 hrs. Plasma MMP-2 activity significantly decreased 3-12 hrs after LPS injection. This loss of activity was associated with a loss of MMP-2 protein. In contrast, plasma MMP-9 activities were rapidly elevated following LPS injection, peaking between 1 and 12 hrs. MMP-9 activity correlated inversely with blood pressure.
Endotoxemia induced rapid changes in MMP activity in both the myocardium and plasma. An increase in circulating MMP-9 activity may contribute to endotoxemic cardiovascular dysfunction."
61,"To investigate the presence or absence of Toll-like receptor (TLR)-2 and TLR-4 in synovial tissues collected from stifle joints (SJs) of dogs with or without osteoarthritis. 21 purpose-bred research dogs, 3 client-owned dogs with SJ osteoarthritis, and 3 dogs without SJ osteoarthritis. Research dogs underwent arthroscopic surgery in 1 SJ to induce osteoarthritis via cranial cruciate ligament transection (CrCLt; n = 5), femoral condylar articular cartilage groove creation (6), or release of the caudal horn of the medial meniscus (5); 5 dogs underwent sham surgery. Synovial tissue specimens were obtained from both stifle joints of each dog 12 weeks after surgery, and TLR-2 and TLR-4 gene expression were determined via real-time reverse transcription PCR assays. Expression of TLR-4 protein was determined via an immunofluorescence technique in additional specimens obtained from osteoarthritic SJs of dogs with cranial cruciate ligament insufficiency and from dogs with nonosteoarthritic SJs. Synovial tissues from CrCLt-treated joints had significantly higher TLR-4 gene expression, compared with the contralateral control SJs or any other joint group. TLR-2 gene expression did not differ significantly among groups. Toll-like receptor-4 protein was detected in synovial tissues of osteoarthritic SJs but was rarely evident in nonosteoarthritic SJs.
Increased TLR-4 gene expression in the synovial tissue of SJs with osteoarthritis secondary to CrCLt suggests that activation of innate immunity may play a role in the pathophysiology of SJ osteoarthritis in at least a subset of dogs."
62,"Poor sleep quality, insomnia, and restless legs syndrome (RLS) and sleep apnea are common in patients with chronic kidney disease (CKD). Clinical correlates of these problems are poorly understood. This study was to find out the prevalence and correlates of insomnia and subjects with 'high risk for obstructive sleep apnea (OSA)' in adults with chronic kidney disease. One hundred and four adults with CKD were included. Their demographic data, details regarding kidney disease and hemodialysis (HD) were recorded. Presence of insomnia and its severity was assessed. They were screened for sleep apnea using a validated questionnaire. Average age was 54.17 (± 12.96) years. 89.4% had stage 5 nephropathy and 78.8% subjects were on regular HD. Males outnumbered females. Insomnia was reported by 35.5%. Among these, 50% had chronic insomnia. Insomnia subjects had higher prevalence of diabetes (P = 0.01) and depression (P < 0.001). Fifty-one percent subjects were at ""high risk for sleep apnea"". They had higher prevalence of diabetes (P < 0.001), coronary disease (P = 0.02), insomnia (P = 0.008), and experienced daytime symptoms of insomnia (P < 0.001). However, in the logistic regression, only male gender (odds ratio, OR = 13.59) and daytime symptoms of insomnia (OR = 7.34) were found to be associated with ""higher risk for sleep apnea"".
Insomnia was prevalent in CKD. Nearly half of these patients are at high risk for sleep apnea and a third of them suffer from insomnia. Hence, these patients should be screened for sleep disorders."
63,"To develop a simple method in an animal model to achieve deliberate hypercapnia, which can be used easily and safely to regulate the pulmonary vascular resistance without changing mean airway pressure and compromising oxygenation. Prospective study, with each animal used as its own control. Minipigs, weighing 11 to 14 kg (n = 7). A quadrilumen thermodilution pulmonary artery catheter was placed in minipigs via the internal jugular vein. Systemic blood pressure was measured with use of a femoral arterial catheter. The animals' lungs were ventilated with an FIO2 of 1.0, and a stable state of eucapnia was achieved and maintained for 30 mins. The artificial deadspace was increased every 30 mins, by connecting 45-mL (3- to 4-mL/kg) corrugated tube segments until a total deadspace volume of 180 mL was added. Hemodynamic performance was evaluated at baseline and after 45 mL (3 to 4 mL/kg), 90 mL (6 to 8 mL/kg), 135 mL (9 to 11 mL/kg), and 180 mL (12 to 15 mL/kg) of added deadspace. Data were indexed to the animal's weight (in kg). Increased artificial deadspace produced a significant (p < .05) increase in PaCO2. These increases in PaCO2 were associated with significant (p < .05) increases of 23%, 32%, 45%, and 46% in the mean pulmonary vascular resistance values, and 6%, 16%, 23%, and 23% in the mean pulmonary arterial pressure, respectively. The systemic pH was decreased from a mean baseline value of 7.45 to 7.39, 7.28, 7.20, and 7.11, respectively. There were no significant changes in PaO2, oxygen consumption, systemic vascular resistance, and cardiac output throughout the experiments.
A gradual increase in artificial deadspace ventilation produces a state of deliberate hypercapnia. In our animal model, a moderate increase in artificial deadspace significantly increased the pulmonary vascular resistance but was not associated with detrimental respiratory acidemia. Larger volumes of added artificial deadspace had no detrimental effect on cardiac output, oxygen content, oxygen consumption, and systemic vascular resistance, but were associated with significant respiratory acidemia and therefore should be avoided."
64,"Endothelial nitric oxide synthase (eNOS) is a critical modulator of vascular tone and blood flow and plays major roles in liver physiology and pathophysiology. Nitric oxide (NO) is widely recognized as one of the key humoral factors important for the initiation of liver regeneration in response to partial hepatectomy. Liver regeneration in response to partial hepatectomy is dependent on the efficiency of growth factor-mediated cell-cycle progression. Epidermal growth factor receptor (EGFR) is a critical mediator of multiple hepatic mitogens, such as epidermal growth factor (EGF), transforming growth factor alpha, amphiregulin, and heparin-binding EGF in regenerating livers. However, the functional significance of endothelial nitric oxide synthase (eNOS) expressed in hepatocytes, and its potential role in EGFR-mediated hepatocyte proliferation, remains unexplored. We sought to determine whether eNOS is essential for hepatocyte proliferation in response to partial hepatectomy (PH). Our studies with eNOS knockout (eNOS(-/-) ) mice suggest that eNOS activation is essential for the efficient induction of early events and elicitation of a robust hepatocyte proliferative response to PH. Moreover, eNOS expression is essential for the efficient early induction of matrix metalloprotease-9, a known mediator of extracellular matrix remodeling and growth factor activation in regenerating livers. Our in vitro studies suggest that eNOS is a critical mediator of EGF-induced hepatocyte proliferation, potentially via its influence on the induction of early growth response-1 (Egr-1) and phosphorylation of c-Jun--known mediators of cell-cycle progression. EGF-induced eNOS phosphorylation at Ser 1177 is dependent on the phosphorylation and activation of EGFR/PI3 kinase/AKT signaling in hepatocytes.
Collectively, these results highlight a hitherto unrecognized role for eNOS activation in hepatocyte proliferation with implications for targeted therapies to enhance liver regenerative response in chronic disorders."
65,"To investigate the synergic effects of rapamycin and donor bone marrow-derived immature dendritic cells (DCs) in inducing skin allograft tolerance in mice. The recipient BALB/c mice receiving transplantation of skin allograft from C57BL/6 mice were divided into control group (without perioperative treatments), rapamycin group (receiving rapamycin at 1 mg.kg(-1).d(-1) by gavage for 7 consecutive 7 days after skin transplantation), immature DC group (receiving an injection of donor bone marrow-derived immature DCs of 2 x 10(6) via tail vein before skin transplantation), combined group (receiving an injection of the DCs of 2 x 10(6) before transplantation and rapamycin at 1 mg.kg(-1).d(-1) for 7 consecutive days after transplantation). The survival time of the skin allograft was observed in each group. The survival time of the skin allograft in the control, rapamycin, immature DC and immature DC +rapamycin groups were 6.9-/+1.9, 12.3-/+3.0, 17.0-/+3.4 and 20.8-/+3.6 days, respectively, showing significant differences among the groups (P<0.05), and SNK test also indicated significant differences between every two groups.
Rapamycin and donor bone marrow-derived immature DCs have synergic effects in inducing skin allograft tolerance in mice."
66,"Depression is common in diabetes, but the scope of the problem and associated correlates are not well established in specialist diabetes care. We aimed to determine the prevalence of depression among adult outpatients with Type 1 (T1DM) or Type 2 diabetes (T2DM) using both self-report measures and a diagnostic interview, and to establish demographic and clinical characteristics associated with depressive affect. A random sample of 2055 diabetes out-patients from three diabetes clinics was invited to participate. Depressive affect was assessed using the World Health Organization-5 Well Being Index (WHO-5), the Centre for Epidemiologic Studies-Depression scale (CESD) using predefined cut-off scores, and depressive disorder with the Composite International Diagnostic Interview (CIDI). Associations between depression and patient characteristics were explored using regression analyses. Seven hundred and seventy-two patients completed the depression questionnaires. About one-third of T1DM patients and 37-43% of T2DM patients reported depressive affect (WHO-5). The prevalence of depressive affect (CESD) was 25% and 30% for men and women with T1DM, and 35% and 38% for men and women with T2DM, respectively. Based on the CIDI, 8% of T1DM patients (no gender difference) and 2% of men and 21% of women with T2DM suffered from a depressive disorder. Depressive affect was associated with poor glycaemic control and proliferative retinopathy in T1DM, while non-Dutch descent, obesity and neuropathy were correlates in T2DM.
Depressive symptoms and major depressive disorder constitute a common comorbid problem among Dutch out-patients with T1DM or T2DM and appear particularly common in migrants and women with T2DM."
67,"To determine bone mass using quantitative phalangeal bone ultrasound in young coeliac patients after a long-term gluten-free diet. A total of 99 patients with coeliac disease (CD) (52 girls, mean age 15.5 +/- 9.7 years; 47 boys, mean age 14.4 +/- 8.4 years) and 44 healthy subjects matched for age, weight and height (26 girls, mean age 18.4 +/- 9.9 years; 18 boys, mean age 16.3 +/- 11.2 years) were included in the study. Bone status was assessed using an ultrasound device that measures amplitude-dependent speed of sound (Ad-SoS) in metres per second. Measurements were made on the phalanges (II-V) of the non-dominant hand, and an average value was computed. Nutrient intake was assessed using a 7-day record. Analysis of variance (ANOVA) and the unpaired t-test showed that the intake of phosphates (P < 0.05), proteins, fat and carbohydrates (P < 0.005 in all) was higher in patients than in controls. No significant difference in Ad-SoS was found between patients and controls (95% CI -10.9 to 60.6) in the overall group, in girls or boys, or in patients following a gluten-free diet strictly or partially. In the patients, only age (beta 4.01, 95% CI 1.84-6.16, P < 0.0005) and weight (beta 2.62, 95% CI 1.53-3.70, P < 0.0001) showed a significant positive relation with Ad-SoS.
In patients with CD, gluten-free diet and increased nutritional intake were accompanied by normal bone mass values as determined by ultrasound on phalanges."
68,"This study was done to evaluate the differences in base deficit (BD) clearance, pH normalization, and the occurrence of complications between survivors and nonsurvivors after trauma. Concurrent data entry with retrospective review. Trauma patients meeting registry criteria from July 1990 through August 1995 with arterial blood gases performed within 1 hour of admission and admission BD < or = -6 were included. Data was grouped by BD category (moderate, -6 to -9; severe, < or = -10). Group means +/- SEM were compared with a two-tailed t test. Six hundred seventy-four patients met entry criteria. Survivors in both the moderate and severe BD groups had improved their BD within 4 hours and normalized their BD by 16 hours. Nonsurvivors did not improve their BD category until 8 hours (for the severe group) and 16 hours (for the moderate group) and did not normalize BD before 24 hours. The BD differences between survivors and nonsurvivors were significant at each time interval, whereas pH differences were significant at 2 hours in the moderate group and at 2, 16, and 24 hours in the severe group. Patients who failed to improve their BD > -6 had an increased frequency of adult respiratory distress syndrome, multiple organ failure, and mortality.
Base deficit reveals differences in metabolic acidosis between survivors and nonsurvivors not shown by pH determinations and is clearly a better marker of acidosis clearance after shock."
69,"Our previous study revealed that plasma visfatin levels were lower in pregnant women with gestational diabetes (GDM) than non-GDM independent of prepreganacy BMI. We examined whether central visfatin modulates energy and glucose homeostasis via altering insulin resistance, insulin secretion or islet morphometry in diabetic rats. Partial pancreatectomized, type 2 diabetic, rats were interacerbroventricularly infused with visfatin (100ng/rat/day, Px-VIS), visfatin+visfatin antagonist, CHS-828 (100μg/rat/day, Px-VIS-ANT), or saline (control, Px-Saline) via osmotic pump, respectively, for 4weeks. Central visfatin improved insulin signaling (pAkt→pFOXO-1) but not pSTAT3 in the hypothalamus. Central visfatin did not alter serum visfatin levels in diabetic rats whereas the levels were higher in non-diabetic rats than diabetic rats. Body weight at the 2nd week was lowered in the Px-VIS group due to decreased food intake in the first two weeks compared to the Px-Saline group and energy expenditure was not significantly different among the treatment groups of diabetic rats. Visfatin antagonist treatment nullified the central visfatin effect. Px-VIS increased whole body glucose disposal rates in euglycemic hyperinsulinemic clamp compared to Px-Saline and lowered hepatic glucose output, whereas Px-VIS-ANT blocked the visfatin effect on insulin resistance (P<0.05). In hyperglycemic clamp study, the area under the curve of insulin in first and second phase were significantly higher in the Px-VIS group than the Px-Saline group without modifying insulin sensitivity at the hyperglycemic state, whereas the increase in serum insulin levels was blocked in the Px-VIS-ANT group. Central visfatin also increased β-cell mass by increasing β-cell proliferation.
Central visfatin improved glucose homeostasis by increasing insulin secretion and insulin sensitivity at euglycemia through the hypothalamus in diabetic rats. Therefore, visfatin is a positive modulator of glucose homeostasis by delivering the hypothalamic signals into the peripheries."
70,"Ribonucleotide reductase is the rate-limiting enzyme in the de novo synthesis of deoxyribonucleotide triphosphates, which are utilized in both DNA synthesis and DNA repair. We reported previously that RR enzyme activity and R2 (catalytic subunit of RR) protein levels were increased after exposure to ionizing radiation (IR) in growth-arrested human tumor cells, suggesting that R2 protein expression regulates RR activity to allow for IR damage repair. Using isogenic human nasopharyngeal carcinoma cells in this study, we examine the relationship of overexpression of either the R1 regulatory subunit or the R2 catalytic subunit of RR to the cellular response of IR damage. We used three isogenic human nasopharyngeal cancer cell lines previously derived by Zhou et al, including KB, the parental tumor cell line; KB/M1, an R1 protein-overexpressing clone stably transfected with human R1 complementary DNA; and KB/M2, a R2 protein-overexpressing clone stably transfected with human R2 complementary DNA. We initially characterized these isogenic human tumor cell lines in exponential growth for R2 protein expression, RR enzyme activity, and R2 protein changes during the cell cycle by flow cytometry. Subsequently, the IR response in these cell lines was determined by clonogenic survival, cell cycle changes occurring after IR, and an analysis of IR DNA damage determined by pulsed field gel electrophoresis. The effect of combining IR and hydroxyurea, a RR (R2) inhibitor, was also studied in KB and KB/M2 cells. KB/M2 cells were found to have 4.5-fold higher R2 protein expression and a threefold higher RR enzyme activity in exponential growth than KB and KB/M1. Although R2 protein levels increased at the G1/S transition in all cell lines, KB/M2 cells also demonstrated consistently higher R2 protein levels throughout the cell cycle. Using a linear-quadratic analysis of IR clonogenic survival data, KB/M2 cells were more radioresistant than KB and KB/M1 cells, including both decreased alpha and decreased beta values, a finding that correlates with increased reparable IR damage. KB/M2 cells also show a reduced G2 cell cycle arrest and fewer DNA double strand breaks 18 hours after IR (6 Gy). Exposure of KB/M2 cells to hydroxyurea (300 microM) after exposure to IR restored in vitro radiosensitivity in a manner similar to that found in KB and KB/M1 cells.
An increase in R2 protein levels and RR activity in KB/M2 cells results in IR resistance, which appears mediated by enhanced IR damage repair during G2. R1 protein overexpression in these isogenic human tumor cells (KB/M1) did not affect RR activity or IR response."
